"Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag","influenza_season"
"Region","Region 1","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","17.8828","5.6119","444","2796766","2023-2024, Region 1. Overall (6 months-17 years)","2","1","2","2","3","3020101","0","2023-2024"
"Region","Region 1","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","11.2968","4.739","444","2796766","2023-2024, Region 1. Overall (6 months-17 years)","3","1","2","2","3","3020101","0","2023-2024"
"Region","Region 1","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","52.4646","2.0775","11480","2796766","2023-2024, Region 1. Overall (6 months-17 years)","1","1","2","2","3","3020101","0","2023-2024"
"Region","Region 10","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","26.5939","8.8347","179","2994353","2023-2024, Region 10. Overall (6 months-17 years)","4","1","11","2","3","3110101","0","2023-2024"
"Substate","Texas-Rest of State","Overall","Overall","Up-to-date","Yes","October Week 4","2025 Oct 25 12:00:00 AM","2025-10-25","22.0648","3.3198","1356","4568150","2025-2026, Texas-Rest of State. Overall (6 months-17 years)",,"1","74","4","1","1740101","0","2025-2026"
"Region","Region 1","Overall","Overall","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","52.4646","2.0775","11480","2796766","2023-2024, Region 1. Overall (6 months-17 years)",,"1","2","2","3","3020101","0","2023-2024"
"Region","Region 10","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","12.7803","6.5297","179","2994353","2023-2024, Region 10. Overall (6 months-17 years)","2","1","11","2","3","3110101","0","2023-2024"
"Region","Region 10","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","19.6947","8.8376","179","2994353","2023-2024, Region 10. Overall (6 months-17 years)","3","1","11","2","3","3110101","0","2023-2024"
"National","National","Age","5-17 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","34.0512","3.404","2088","54612931","2025-2026, National. Age: 5-17 years","4","2","1","1","1","1010205","0","2025-2026"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely will get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","21.3297","3.5919","1499","32480114","2025-2026, National. Mother's Education: >= College degree","2","3","1","1","1","1010313","0","2025-2026"
"National","National","Age","12-17 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","35.0955","4.4942","1074","25925030","2023-2024, National. Age: 12-17 years","4","2","1","1","3","3010207","0","2023-2024"
"National","National","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","18.7643","2.2815","3077","71314849","2025-2026, National. Overall (6 months-17 years)","2","1","1","1","1","1010101","0","2025-2026"
"National","National","Age","12-17 years","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","11.7946","3.0164","1074","25925030","2023-2024, National. Age: 12-17 years","2","2","1","1","3","3010207","0","2023-2024"
"National","National","Mother's Education",">= College degree","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","26.7322","3.9223","1499","32480114","2025-2026, National. Mother's Education: >= College degree","4","3","1","1","1","1010313","0","2025-2026"
"National","National","Mother's Education","Some college","4-level vaccination and intent","Definitely will get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","15.9804","4.3186","622","14526791","2025-2026, National. Mother's Education: Some college","2","3","1","1","1","1010312","0","2025-2026"
"State","Tennessee","Overall","Overall","Up-to-date","Yes","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","20.8167","4.1488","805","2295558","2025-2026, Tennessee. Overall (6 months-17 years)",,"1","56","3","1","1560101","0","2025-2026"
"National","National","Age","12-17 years","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","15.6301","3.5141","1074","25925030","2023-2024, National. Age: 12-17 years","3","2","1","1","3","3010207","0","2023-2024"
"National","National","Age","12-17 years","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","37.4798","0.9374","40805","25925030","2023-2024, National. Age: 12-17 years","1","2","1","1","3","3010207","0","2023-2024"
"National","National","Age","12-17 years","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","37.4798","0.9374","40805","25925030","2023-2024, National. Age: 12-17 years",,"2","1","1","3","3010207","0","2023-2024"
"National","National","Age","13-17 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","35.8439","4.83","864","21369526","2023-2024, National. Age: 13-17 years","4","2","1","1","3","3010209","0","2023-2024"
"National","National","Age","13-17 years","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","11.3294","3.265","864","21369526","2023-2024, National. Age: 13-17 years","2","2","1","1","3","3010209","0","2023-2024"
"Region","Region 2","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","22.8486","9.0159","143","5871245","2025-2026, Region 2. Overall (6 months-17 years)","4","1","3","2","1","1030101","0","2025-2026"
"State","South Carolina","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","9.9772","7.4292","51","1428255","2025-2026, South Carolina. Overall (6 months-17 years)","2","1","54","3","1","1540101","0","2025-2026"
"National","National","Age","13-17 years","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","15.9311","3.8525","864","21369526","2023-2024, National. Age: 13-17 years","3","2","1","1","3","3010209","0","2023-2024"
"National","National","Age","13-17 years","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","36.8957","1.0291","31753","21369526","2023-2024, National. Age: 13-17 years","1","2","1","1","3","3010209","0","2023-2024"
"National","National","Age","13-17 years","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","36.8957","1.0291","31753","21369526","2023-2024, National. Age: 13-17 years",,"2","1","1","3","3010209","0","2023-2024"
"National","National","Age","5-11 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","28.8854","3.7508","1295","27666909","2023-2024, National. Age: 5-11 years","4","2","1","1","3","3010206","0","2023-2024"
"State","Arizona","Overall","Overall","Up-to-date","Yes","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","25.8983","5.3154","527","1288750","2025-2026, Arizona. Overall (6 months-17 years)",,"1","14","3","1","1140101","0","2025-2026"
"National","National","Age","5-11 years","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","15.2677","3.1099","1295","27666909","2023-2024, National. Age: 5-11 years","2","2","1","1","3","3010206","0","2023-2024"
"National","National","Age","5-11 years","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","12.6998","2.8088","1295","27666909","2023-2024, National. Age: 5-11 years","3","2","1","1","3","3010206","0","2023-2024"
"National","National","Age","5-11 years","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","43.1471","0.9353","48927","27666909","2023-2024, National. Age: 5-11 years","1","2","1","1","3","3010206","0","2023-2024"
"National","National","Age","5-11 years","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","43.1471","0.9353","48927","27666909","2023-2024, National. Age: 5-11 years",,"2","1","1","3","3010206","0","2023-2024"
"National","National","Age","5-12 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","29.1086","3.5346","1505","32222414","2023-2024, National. Age: 5-12 years","4","2","1","1","3","3010208","0","2023-2024"
"National","National","Age","5-12 years","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","15.2234","2.9095","1505","32222414","2023-2024, National. Age: 5-12 years","2","2","1","1","3","3010208","0","2023-2024"
"National","National","Age","5-12 years","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","12.842","2.5984","1505","32222414","2023-2024, National. Age: 5-12 years","3","2","1","1","3","3010208","0","2023-2024"
"National","National","Overall","Overall","4-level vaccination and intent","Received a vaccination","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","31.4857","1.0367","40018","71314849","2025-2026, National. Overall (6 months-17 years)","1","1","1","1","1","1010101","0","2025-2026"
"State","Virginia","Overall","Overall","Up-to-date","Yes","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","35.1017","4.9334","826","1994928","2025-2026, Virginia. Overall (6 months-17 years)",,"1","61","3","1","1610101","0","2025-2026"
"Region","Region 5","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","27.8113","5.9367","438","11231908","2025-2026, Region 5. Overall (6 months-17 years)","4","1","6","2","1","1060101","0","2025-2026"
"National","National","Age","5-12 years","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","42.826","0.8638","57979","32222414","2023-2024, National. Age: 5-12 years","1","2","1","1","3","3010208","0","2023-2024"
"National","National","Age","5-12 years","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","42.826","0.8638","57979","32222414","2023-2024, National. Age: 5-12 years",,"2","1","1","3","3010208","0","2023-2024"
"National","National","Age","5-17 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","31.9401","2.9513","2369","53591940","2023-2024, National. Age: 5-17 years","4","2","1","1","3","3010205","0","2023-2024"
"National","National","Age","5-17 years","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","13.5692","2.178","2369","53591940","2023-2024, National. Age: 5-17 years","2","2","1","1","3","3010205","0","2023-2024"
"National","National","Age","5-17 years","4-level vaccination and intent","Probably will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","14.1409","2.2453","2369","53591940","2023-2024, National. Age: 5-17 years","3","2","1","1","3","3010205","0","2023-2024"
"National","National","Age","5-17 years","4-level vaccination and intent","Received a vaccination","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","40.3498","0.6743","89732","53591940","2023-2024, National. Age: 5-17 years","1","2","1","1","3","3010205","0","2023-2024"
"National","National","Age","5-17 years","Up-to-date","Yes","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","40.3498","0.6743","89732","53591940","2023-2024, National. Age: 5-17 years",,"2","1","1","3","3010205","0","2023-2024"
"National","National","Age","6 months-4 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","27.2715","4.4381","1323","16743317","2023-2024, National. Age: 6 months-4 years","4","2","1","1","3","3010203","0","2023-2024"
"Region","Region 3","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","30.3509","5.0759","850","6345278","2023-2024, Region 3. Overall (6 months-17 years)","4","1","4","2","3","3040101","0","2023-2024"
"Region","Region 3","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","November Week 4","2023 Nov 25 12:00:00 AM","2025-11-22","11.0984","3.1195","850","6345278","2023-2024, Region 3. Overall (6 months-17 years)","2","1","4","2","3","3040101","0","2023-2024"
"State","Arizona","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","November Week 1","2025 Nov 01 12:00:00 AM","2025-11-01","19.9158","18.8099","32","1288750","2025-2026, Arizona. Overall (6 months-17 years)","3","1","14","3","1","1140101","0","2025-2026"
